@relation eMBB

@attribute X numeric
@attribute Seq numeric
@attribute Dur numeric
@attribute RunTime numeric
@attribute Mean numeric
@attribute Sum numeric
@attribute Min numeric
@attribute Max numeric
@attribute Proto {tcp}
@attribute sTos numeric
@attribute dTos numeric
@attribute sDSb {cs0}
@attribute dDSb {cs0}
@attribute sTtl numeric
@attribute dTtl numeric
@attribute sHops numeric
@attribute dHops numeric
@attribute Cause {Start,Status}
@attribute TotPkts numeric
@attribute SrcPkts numeric
@attribute DstPkts numeric
@attribute TotBytes numeric
@attribute SrcBytes numeric
@attribute DstBytes numeric
@attribute Offset numeric
@attribute sMeanPktSz numeric
@attribute dMeanPktSz numeric
@attribute Load numeric
@attribute SrcLoad numeric
@attribute DstLoad numeric
@attribute Loss numeric
@attribute SrcLoss numeric
@attribute DstLoss numeric
@attribute pLoss numeric
@attribute SrcGap numeric
@attribute DstGap numeric
@attribute Rate numeric
@attribute SrcRate numeric
@attribute DstRate numeric
@attribute State {CON}
@attribute SrcWin numeric
@attribute DstWin numeric
@attribute sVid {NA}
@attribute dVid {NA}
@attribute SrcTCPBase numeric
@attribute DstTCPBase numeric
@attribute TcpRtt numeric
@attribute SynAck numeric
@attribute AckDat numeric
@attribute UniqueID numeric
@attribute predicted {1:eMBB}
@attribute Label {Benign,Malicious}

@data
487350,657,0.713976,0.713976,0.713976,0.713976,0.713976,0.713976,tcp,0,0,cs0,cs0,64,63,0,1,Start,21,11,10,3296,1445,1851,160072,131.363632,185.100006,33390.47656,14723.18359,18667.29297,1,0,1,4.545455,0,0,28.012146,14.006073,12.605465,CON,70144,32256,NA,NA,1761459982,1223058830,0.015993,0.0013,0.014693,11142,1:eMBB,Benign
348351,74,0.233904,0.233904,0.233904,0.233904,0.233904,0.233904,tcp,0,0,cs0,cs0,64,116,0,12,Start,17,10,7,7435,1295,6140,13344,129.5,877.142883,219885.0781,39879.60938,180005.4688,1,0,1,5.555556,0,0,68.404129,38.477322,25.651548,CON,78336,66816,NA,NA,97975463,2274120541,0.069788,0.056029,0.013759,72618,1:eMBB,Benign
37560,3089,0.248047,0.248047,0.248047,0.248047,0.248047,0.248047,tcp,0,0,cs0,cs0,64,63,0,1,Start,18,10,8,5960,1083,4877,487164,108.300003,609.625,169096.9844,31445.6543,137651.3281,1,0,1,5.263158,0,0,68.5354,36.283447,28.220459,CON,77312,31104,NA,NA,731439299,1545542686,0.017124,0.001247,0.015877,83468,1:eMBB,Benign
529670,6474,2.971093,2.971093,2.971093,2.971093,2.971093,2.971093,tcp,0,0,cs0,cs0,64,117,0,11,Status,744,151,593,876117,17137,858980,1425952,113.490067,1448.532837,2354839.75,45839.02344,2309000.75,1,0,1,0.134228,0,0,250.076324,50.486473,199.253281,CON,743424,228864,NA,NA,718479468,785898462,0.044884,0.021624,0.02326,91893,1:eMBB,Benign
351078,1419,1.422108,1.422108,1.422108,1.422108,1.422108,1.422108,tcp,0,0,cs0,cs0,64,117,0,11,Start,360,179,181,269266,21787,247479,346204,121.71508,1367.287354,1506372.125,121881.0313,1384491.125,1,0,1,0.277008,0,0,252.442139,125.166298,126.572662,CON,552448,88320,NA,NA,2362066742,2006242913,0.034968,0.020463,0.014505,98217,1:eMBB,Benign
436539,2314,4.996003,4.996003,4.996003,4.996003,4.996003,4.996003,tcp,0,0,cs0,cs0,64,117,0,11,Status,105,43,62,92998,5992,87006,16583880,139.348831,1403.322632,146446.6719,9372.291992,137074.375,1,0,1,0.943396,0,0,20.816641,8.40672,12.20976,CON,1162240,268544,NA,NA,3025160249,2052663605,0.035881,0.020743,0.015138,194951,1:eMBB,Benign
50514,14904,3.634041,3.634041,3.634041,3.634041,3.634041,3.634041,tcp,0,0,cs0,cs0,64,117,0,11,Start,187,91,96,138310,14760,123550,2269532,162.1978,1286.979126,301288.8438,32136.125,269152.7188,1,1,0,0.531915,0,0,51.18269,24.765818,26.141697,CON,310272,82944,NA,NA,850767236,546617603,0.035872,0.021396,0.014476,241684,1:eMBB,Benign
50516,14905,3.585305,3.585305,3.585305,3.585305,3.585305,3.585305,tcp,0,0,cs0,cs0,64,117,0,11,Start,141,72,69,102924,11572,91352,2269964,160.722229,1323.942017,226348.3906,25463.94336,200884.4375,1,1,0,0.704225,0,0,39.048283,19.803057,18.966309,CON,248320,78592,NA,NA,550889963,1838161739,0.049127,0.021165,0.027962,380648,1:eMBB,Benign
652298,33466,4.97393,4.97393,4.97393,4.97393,4.97393,4.97393,tcp,0,0,cs0,cs0,64,117,0,11,Status,123,62,61,93659,8343,85316,17341592,134.564514,1398.622925,148175.7969,13203.24219,134972.5469,1,1,0,0.806452,0,0,24.527889,12.263945,12.062896,CON,414720,82432,NA,NA,1788554287,2471190691,0.034971,0.020754,0.014217,1049987,1:eMBB,Benign
524574,4469,3.306795,3.306795,3.306795,3.306795,3.306795,3.306795,tcp,0,0,cs0,cs0,64,116,0,12,Start,382,158,224,295718,83532,212186,701188,528.683533,947.258911,711850.625,200808.3438,511042.2813,1,1,0,0.261097,0,0,115.217308,47.477997,67.436905,CON,512000,217088,NA,NA,1891565722,327841975,0.034947,0.021157,0.01379,1098632,1:eMBB,Benign
