@relation 'mMTC-weka.filters.unsupervised.attribute.StringToNominal-R11,15,17,42,46'

@attribute X numeric
@attribute Seq numeric
@attribute Dur numeric
@attribute RunTime numeric
@attribute Mean numeric
@attribute Sum numeric
@attribute Min numeric
@attribute Max numeric
@attribute Proto {tcp}
@attribute sTos numeric
@attribute dTos {0,NA}
@attribute sDSb {cs0}
@attribute dDSb {cs0,ef}
@attribute sTtl numeric
@attribute dTtl {64,NA,47,53,63,116,117,62,52,54,59}
@attribute sHops numeric
@attribute dHops {0,NA,17,11,1,12,2,10,5}
@attribute Cause {Status,Start}
@attribute TotPkts numeric
@attribute SrcPkts numeric
@attribute DstPkts numeric
@attribute TotBytes numeric
@attribute SrcBytes numeric
@attribute DstBytes numeric
@attribute Offset numeric
@attribute sMeanPktSz numeric
@attribute dMeanPktSz numeric
@attribute Load numeric
@attribute SrcLoad numeric
@attribute DstLoad numeric
@attribute Loss numeric
@attribute SrcLoss numeric
@attribute DstLoss numeric
@attribute pLoss numeric
@attribute SrcGap numeric
@attribute DstGap numeric
@attribute Rate numeric
@attribute SrcRate numeric
@attribute DstRate numeric
@attribute State {CON,ACC,FIN,REQ,RST}
@attribute SrcWin numeric
@attribute DstWin {68608,NA,134,64256,66816,5549,32256,140,154624,154,31104,2307,1050,239872,268544,173,144,35456,87552,67840,457,171520,268032,250368,254976,4459,72448,119040,33280,235008,197120,98560,8290304,879,177,2056,65024,64896,64240,8340480}
@attribute sVid {NA}
@attribute dVid {NA}
@attribute SrcTCPBase numeric
@attribute DstTCPBase {2623059431,NA,1618367425,529769650,3273577305,3442218893,1179797830,2623058727,2646845546,3441991458,3796999830,4073124279,98961977,756645181,3442102868,3441975142,1983668627,3442251959,3441351988,3577407314,2646845018,3913209256,24250418,4073128551,2646847274,2623059831,3441043043,3442035050,3441763919,3368322417,1618368833,3439776570,2286857734,1552586432,4236896213,439571066,3577412242,3797002468,4269091479,3577408130,3704604840,692682252,4073125735,3940739406,3442224041,3940737550,3439708558,3441283855,2646842778,3577406866,3441526479,3442263742,1656426876,300625156,2047070633,3441197362,1618366209,1509796360,600545481,281349486,4186203202,3441679730,3577409170,768703832,3577412002,3577410242,3441953195,3940739710,2623061159,2185790700,3577410850,1618367985,3439419018,3442477472,3940738830,2623062439,3441207803,3577408738,1552588128,1552585152,3441614351,4186204610,3577407810,3440982876,3441521253,1673974281,540232519,2646841354,3141419241,3441125372,874839893,4214115615,4186203650,2646841882,1084444347,2045176943,3441784812,657945014,2646844218,3442124327,1618366849,2100118556,2065148897,3441158586,2623060855,3753329624,3439871217,3531690109,3439864606,4073125239,1618366337,3442515505,1552585856,3441334394,3442057947,2646841210,3442164456,839432280,4186204098,4073124855,2623061687,2646842266,3940740654,1285846413,3442024676,3441019802,1444633489,3439954723,3940737886,756521142,3441925232,3441642283,1552585600,2623060343,3940738318,2428864111,3441295688,1552587248,1615481983,3940740238,3442069638,4105726333,1128974712,3577409842,3439647754,2646843610,3593292603,962388224,2839484865,3638912401,159942573,3323186389,1885976398,148643644,2778664688,815989983,4063690350,1793645307,2076573445,2485182084,4249469255,1770455180,1270254236,2304673556,3222166808,303629319,413781185,3949837814,3745700385,903058259,3367101079,797401319,208389319,217701467,3192194173,1242701635,2325284512,3443415128,1570665862,231587869,2295422330,3770882414,3492268361,2417296601,3896695899,3007803862,1816741251,1246870264,2863574280,217518455,286199307,2619245964,3664789015,2615705310,1816584808,3679354734,3770828215,4082246075,3322347925,2760399599,4010522256,3240126856,3985396105,2108050575,2879777071,592495768,927077980,1993368014,84397867,3182779537,2297706118,2567675299,172856051,2147325254,1019199526,3904310848,4100043985,2486941597,524082337,2047566919,357044174,312834748,984125613,1937526000,1170206457,3265196299,1891533617,2563185787,2535454543,393441307,776064307,523870518,3134247307,973055414,2301859857,763929041,3745196438,76467660,1817362642,530492530,2718763902,3683555807,1321992673,408190634,4164207139,967510774,881782116,3875667404,1805713927,1774819050,4291264145,3812407581,293631260,42770686,3047371703,2756002450,1516998667,884062204,3060803329,623700093,2122940027,3241340223,1511629268,903415644,637746245,4102078946,2234694459,2975324776,2937466254,2017422222,3552433119,4252005320,2059268501,4150003274,4143569582,221974601,4127135294,3609927,3432934240,2905999387,277587685,2698876801,1795422488,113290994,3690452508,152788678,3734478476,3320807156,865045336,3486807883,3603138898,3655079853,3078765745,3550200254,2296221915,1478906598,148517648,806315053,1137659642,2803529972,4183012070,3203251038,608906108,1548742166,3469907244,4127285479,1481456278}
@attribute TcpRtt numeric
@attribute SynAck numeric
@attribute AckDat numeric
@attribute UniqueID numeric
@attribute predicted {2:mMTC}
@attribute Label {Benign,Malicious}

@data
727464,483,4.720971,4.720971,4.720971,4.720971,4.720971,4.720971,tcp,0,0,cs0,cs0,64,64,0,0,Status,36,24,12,3944,2352,1592,110408,98,132.666672,6293.620605,3819.553223,2474.067139,12,6,6,25,0,0,7.413729,4.871879,2.330029,CON,69632,68608,NA,NA,1416618363,2623059431,0.118435,0.077332,0.041103,3486,2:mMTC,Benign
434935,40238,0.138056,0.138056,0.138056,0.138056,0.138056,0.138056,tcp,0,NA,cs0,?,52,NA,12,NA,Status,2,2,0,148,148,0,16353272,74,0,4288.115234,4288.115234,0,2,2,0,50,0,0,7.243438,7.243438,0,ACC,16776960,NA,NA,NA,3293412428,NA,0,0,0,6256,2:mMTC,Benign
728205,865,4.97409,4.97409,4.97409,4.97409,4.97409,4.97409,tcp,0,0,cs0,cs0,64,64,0,0,Status,44,30,14,5048,3004,2044,215644,100.133331,146,7723.22168,4670.603027,3052.618652,15,8,7,25.423729,0,0,8.644797,5.830212,2.613543,CON,182,134,NA,NA,2043686795,1618367425,0,0,0,6429,2:mMTC,Benign
347935,12695,1.157742,1.157742,1.157742,1.157742,1.157742,1.157742,tcp,0,0,cs0,cs0,63,47,1,17,Start,12,7,5,1142,656,486,2273748,93.714287,97.199997,6578.322266,3890.331299,2687.990967,1,1,0,7.692308,0,0,9.501253,5.182502,3.455001,FIN,64128,64256,NA,NA,3836019920,529769650,0.207826,0.137777,0.070049,8316,2:mMTC,Benign
35365,1017,0.17277,0.17277,0.17277,0.17277,0.17277,0.17277,tcp,0,0,cs0,cs0,64,53,0,11,Start,18,10,8,8897,1307,7590,240456,130.699997,948.75,362053.625,54500.20313,307553.4063,1,0,1,5.263158,0,0,98.396713,52.092381,40.516296,CON,78336,66816,NA,NA,2977476616,3273577305,0.041981,0.021117,0.020864,10829,2:mMTC,Benign
38675,7,4.326471,4.326471,4.326471,4.326471,4.326471,4.326471,tcp,0,0,cs0,cs0,64,53,0,11,Status,49,21,28,18267,11217,7050,649368,534.142883,251.785721,32325.6543,19753.74414,12571.90918,1,1,0,2,0,0,11.094493,4.622705,6.240652,CON,4094,5549,NA,NA,1095076572,3442218893,0,0,0,17736,2:mMTC,Benign
728031,747,1.387933,1.387933,1.387933,1.387933,1.387933,1.387933,tcp,0,0,cs0,cs0,64,63,0,1,Start,23,12,11,9395,1533,7862,188920,127.75,714.727295,49304.97266,8104.137695,41200.83594,2,0,2,8,0,0,15.850909,7.925455,7.204958,CON,81408,32256,NA,NA,2954416314,1179797830,0.015907,0.001292,0.014615,18335,2:mMTC,Benign
675920,10998,0.132007,0.132007,0.132007,0.132007,0.132007,0.132007,tcp,0,NA,cs0,?,53,NA,11,NA,Status,2,2,0,148,148,0,2906532,74,0,4484.610352,4484.610352,0,2,2,0,50,0,0,7.575356,7.575356,0,ACC,16776960,NA,NA,NA,3968758261,NA,0,0,0,19188,2:mMTC,Benign
727462,483,4.794985,4.794985,4.794985,4.794985,4.794985,4.794985,tcp,0,0,cs0,cs0,64,64,0,0,Status,76,44,32,8120,4600,3520,110104,104.545456,110,13190.44824,7501.170898,5689.277832,22,12,10,22.44898,0,0,15.641342,8.967703,6.465088,CON,69632,68608,NA,NA,1416617515,2623058727,0.118435,0.077332,0.041103,21535,2:mMTC,Benign
728245,879,4.393983,4.393983,4.393983,4.393983,4.393983,4.393983,tcp,0,0,cs0,cs0,64,64,0,0,Start,68,36,32,11896,6280,5616,221864,174.444443,175.5,21023.29492,11117.02051,9906.274414,14,7,7,17.073171,0,0,15.248125,7.965438,7.055102,CON,144,140,NA,NA,1511580086,2646845546,0,0,0,31431,2:mMTC,Benign
37688,7,4.396083,4.396083,4.396083,4.396083,4.396083,4.396083,tcp,0,0,cs0,cs0,64,53,0,11,Status,54,25,29,18630,11473,7157,529628,458.920013,246.793106,32621.76953,20045.11719,12576.65137,2,1,1,3.571429,0,0,12.056188,5.459406,6.369307,CON,4094,5549,NA,NA,1094728816,3441991458,0,0,0,32822,2:mMTC,Benign
678830,7481,0.190062,0.190062,0.190062,0.190062,0.190062,0.190062,tcp,0,0,cs0,cs0,64,116,0,12,Status,31,15,16,12058,8316,3742,3316544,554.400024,233.875,474413.5938,326714.4375,147699.1719,1,1,0,3.125,0,0,157.843231,73.660172,78.921616,CON,102912,154624,NA,NA,2629175656,3796999830,0.034974,0.021213,0.013761,46235,2:mMTC,Benign
